Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
YEI7mdjjd0s,They Are Billions | Campaña | 800% Dificultad Maxima | El dorado | Cap 33 |  Español,"Sep 25, 2023",6885,140,15.7274,0,4585,2.42
XIl38LmboD8,They Are Billions | Campaña | 800% Dificultad Maxima | El cabo de la tormenta | Cap 13 | Español,"Mar 4, 2023",4661,139,31.7835,0,2625,3.39
HpWlx0Q5LhA,They Are Billions | Campaña | 800% Dificultad Maxima | Las tierras altas | Cap 34 |  Español,"Oct 3, 2023",2428,137,10.1855,0,7036,1.56
fI2DkaJ7nbM,They Are Billions | Campaña | 800% Dificultad Maxima | El Último Bunker COMPLETO | Cap 2 | Español,"Oct 20, 2022",797,137,4.0904,0,1547,6.33
qMMfN7W3XtM,They Are Billions | Campaña | 800% Dificultad Maxima | La factoría de armas COMPLETO | Cap4 |Español,"Nov 12, 2022",2847,129,9.113,0,1507,5.24
xVtwYzBknVo,They Are Billions | Campaña | 800% Dificultad Maxima | La Prisión | Cap 20 | Español,"Apr 22, 2023",802,126,2.2466,0,4792,2.05
XLaO38bt9_4,They Are Billions | Campaña | 800% Dificultad Maxima | El nido de la arpía| Cap 11  Español,"Feb 19, 2023",4747,121,18.0456,0,2549,3.02
FDIwBb9IROM,Kingdom Rush 5 Alliance | IMPOSIBLE 3 estrellas | Desafío de HIerro COMPLETO,"Aug 31, 2024",7338,120,7.5987,1,813,12.18
lkEZRY2teVM,Lo que pasa cuando activo el Ultra-instinto 😎  #lol #leagueoflegends,"Nov 26, 2023",48,119,1.2268,1,145,6.9
RsAss-Q5VvA,They Are Billions | Campaña | 800% Dificultad Maxima | Fortaleza de Acero |Completo|Cap 24 | Español,"Jul 30, 2023",2677,114,3.7258,0,4374,2.1
EdO2CFe735M,Frostpunk | El Ultimo Otoño | Guia | Superviviente | Generador Completo | Sin muertes #5 | FINAL,"Dec 23, 2023",5138,111,7.0931,0,3037,3.19
4udGiQXCvm4,They Are Billions | Campaña | 800% Dificultad Maxima | La Resistencia | Cap 28 | #1 | Español,"Aug 20, 2023",4590,110,7.4611,0,3756,2.16
E-v9eluggwA,🎮 Buenos Tiempos cuando el Alk4 strimeaba lol y daba consejos en sus series del maincra,"Sep 3, 2025",26,110,0.1002,0,19,0
Yg-YUDwI_UU,They Are Billions | Campaña | 800% Dificultad Maxima | Parámo de los Gigantes| #1 | Cap 26 | Español,"Aug 12, 2023",3659,106,8.9484,0,2913,2.75
S7L3GuC7CRE,They Are Billions | Campaña | 800% Dificultad Maxima | El valle de la muerte | Cap 19 | Español,"Apr 16, 2023",5626,105,7.3907,1,6855,1.18
K2laNZ3uoBk,They Are Billions | Campaña | 800% Dificultad Maxima | La Resistencia #2 | Cap 29 |  Español,"Aug 29, 2023",3403,104,3.7845,1,4873,1.72
XYKX7wKbLcc,Frostpunk | El Ultimo Otoño | Guia | Superviviente | Generador Completo | Sin muertes #2,"Nov 30, 2023",3303,94,9.0611,1,5457,1.15
h26efgBKu5A,Frostpunk | La Caída de Ivernia | Guia | Sobreviviente | Full Acorazado | Sin muertes #1,"Oct 28, 2023",1710,94,6.5328,1,3296,1.7
bpxfrS2IKcs,Pensé que eso solo pasaba en el superserver de LAN  #memes   #humor  #funnymemesvideos,"Feb 1, 2025",9,93,0.6571,0,70,1.43
YJrtppotgNk,They Are Billions | Campaña | 800% Dificultad Maxima | La villa del terror | Cap 22 | Español,"May 6, 2023",6240,84,16.1896,0,4026,1.34
dK8nqOFLNvA,They Are Billions | Campaña | 800% Dificultad Maxima | La Fundición | Cap 15 | Español,"Mar 18, 2023",2060,81,3.9472,0,3048,1.71
zX99b5KpZVU,They Are Billions | Campaña | 800% Dificultad Maxima | Proyecto Phoenix | Cap 35 |  Español,"Oct 10, 2023",4876,76,4.9054,0,3977,1.33
